tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
-40.51356,-27.230103,0,4
39.023457,-4.8593574,3,3
12.271376,53.422096,1,5
80.937614,-6.2010727,2,2
-10.789216,-17.925049,0,4
1.2972984,19.712215,1,5
55.584896,0.9724444,2,2
-48.335785,-24.267836,0,4
-30.259201,-25.84069,0,4
-17.29742,14.408628,1,5
-57.37154,-20.163746,0,4
-38.231903,16.304337,1,1
-18.401148,49.25157,1,1
2.120289,26.226881,1,5
-14.004921,-23.464264,0,4
-41.11491,3.9969745,0,1
61.460274,-27.210793,2,2
-3.3013551,-23.328096,3,3
-15.137967,1.1760778,0,5
42.10452,2.00904,2,3
-55.675053,-20.654139,0,4
-35.216423,-41.534756,0,5
52.833035,-12.493937,2,2
-1.0697143,-39.586548,3,3
-10.872518,14.1147785,1,3
-16.078377,4.071441,0,5
-21.395632,47.98323,1,1
-0.07040289,-20.373602,3,3
30.031685,-31.637514,3,2
32.267033,1.3918562,3,3
-42.44815,-32.170853,0,4
-25.118889,-37.372604,0,4
-51.25232,27.428774,1,5
-9.658006,34.625237,1,5
-36.786594,-49.836094,0,4
-55.04639,-10.837207,0,4
-2.1195047,-31.550795,3,3
-42.043854,25.098206,1,1
-58.203987,-20.85724,0,4
60.420425,-27.442654,2,2
-19.001366,61.73801,1,1
-17.889225,35.300613,1,1
-3.2572455,-38.785698,0,3
-22.672586,-34.79074,0,4
-0.2249237,-30.70007,3,3
-23.234793,-34.609642,0,5
-40.565483,-34.74,0,4
14.235856,-35.38793,3,3
-47.16199,39.027164,1,1
19.252254,42.641228,1,5
-29.690073,-47.21258,0,4
18.329502,-7.5682926,3,3
-28.35173,14.1899805,1,1
-50.33774,-23.635715,0,4
13.841296,33.917694,1,5
8.57879,-16.669277,3,3
29.16176,-32.514008,3,2
-22.75421,-52.776947,0,4
4.0073276,-36.19888,3,3
-6.129734,-31.08121,3,3
81.942986,-12.460124,2,2
-31.946066,-14.944383,0,5
-32.41931,30.044174,1,1
58.93253,-12.270492,2,2
-18.097492,-44.479904,0,4
-41.109604,-25.77621,0,4
64.8911,-11.83885,2,2
-38.66384,-3.2939572,0,4
-20.463493,1.0480442,0,5
-21.902134,-46.309856,0,4
-34.796318,14.940246,0,1
-13.706672,2.6973708,0,5
53.458748,-9.297862,2,2
-4.663792,-14.336755,0,4
-43.412415,-17.34878,0,4
-29.9444,50.38513,1,1
5.182104,50.551487,1,1
55.201977,1.9457413,2,2
64.956245,2.7437134,2,2
36.251938,2.626897,3,3
-22.913486,-33.26102,0,4
37.696407,-37.058685,3,2
-29.04699,29.630262,1,1
10.073237,-14.889833,3,3
36.261635,-9.127234,3,2
-17.8894,34.679543,1,1
-54.922817,-0.6146718,0,4
-17.22032,-24.761145,0,4
-44.8491,-6.290259,0,4
-18.052504,-40.868603,0,4
-35.3751,2.8428154,0,4
-22.949003,39.433025,1,5
52.635765,-9.033711,2,2
8.600127,33.20639,1,5
89.81453,-14.037656,2,2
18.2064,31.953726,1,5
15.181032,-11.99326,3,3
6.7722106,-25.105276,3,3
-35.011036,47.860092,1,1
-9.685934,-25.29858,0,4
-49.818497,21.952368,1,1
12.126101,59.85264,1,5
14.444854,54.69841,1,5
51.39735,-24.577015,2,2
73.98173,-5.643746,2,2
-25.010336,-54.015656,0,3
-28.075142,27.760542,1,1
-25.518812,5.5992236,0,1
-19.165722,47.664078,1,1
10.078721,27.445312,1,5
-52.026814,-39.98074,0,4
-6.6192737,-35.188972,0,2
-29.888258,16.978722,1,4
27.637356,-20.050175,3,2
-36.274994,-33.607986,0,4
1.8792456,-40.44641,3,3
17.482138,43.545723,1,5
20.396591,49.046097,1,5
-36.012985,-3.9849482,0,1
72.250755,-13.155522,2,3
-47.032677,-39.51999,0,4
-12.720598,-34.380676,0,3
-20.515259,-51.960587,0,3
8.816766,56.093914,1,5
36.267937,-15.483746,3,3
